time,station_id,sbe_salinity_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-04 19:00:00+00:00,Mace Head,33.4025,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 19:30:00+00:00,Mace Head,33.4059,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 20:00:00+00:00,Mace Head,33.4071,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 20:30:00+00:00,Mace Head,33.4125,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 21:00:00+00:00,Mace Head,33.4211,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 21:30:00+00:00,Mace Head,33.4309,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 22:00:00+00:00,Mace Head,33.4469,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 22:30:00+00:00,Mace Head,33.4305,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 23:00:00+00:00,Mace Head,33.4382,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 23:30:00+00:00,Mace Head,33.4699,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 00:00:00+00:00,Mace Head,33.5142,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 00:30:00+00:00,Mace Head,33.5084,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 01:00:00+00:00,Mace Head,33.4776,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 01:30:00+00:00,Mace Head,33.4678,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 02:00:00+00:00,Mace Head,33.4715,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 02:30:00+00:00,Mace Head,33.5104,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 03:00:00+00:00,Mace Head,33.5801,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 03:30:00+00:00,Mace Head,33.6925,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 04:00:00+00:00,Mace Head,33.7401,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 04:30:00+00:00,Mace Head,33.7069,1.0,1.0,1.0,1.0,1.0,1,1.0
